Номер теста;Задержка включения (us);СРЕДНЯЯ задержка включения (us);Задержка спада (us);СРЕДНЯЯ задержка спада (us);Длительность ответа (us);СРЕДНЯЯ длительность ответа (us)
4245;16;1017;13;1430;250001;250415
4246;11;1017;14;1430;250006;250415
4247;2161;1017;13;1430;247854;250414
4248;2161;1018;128;1430;247969;250414
4249;7;1017;13;1429;250010;250414
4250;7;1017;9;1429;250002;250413
4251;15;1017;4087;1429;254075;250414
4252;2112;1017;79;1429;247970;250414
4253;12;1017;87;1429;250075;250414
4254;15;1017;59;1429;250047;250414
4255;2063;1017;4058;1429;251995;250414
4256;2058;1017;4049;1430;251991;250414
4257;11;1017;4038;1430;254030;250415
4258;11;1017;4025;1431;254017;250416
4259;15;1017;18;1431;250006;250416
4260;2022;1017;17;1430;247996;250415
4261;2014;1017;13;1430;248000;250415
4262;1995;1017;13;1430;248019;250414
4263;15;1017;3990;1430;253978;250415
4264;2001;1017;3977;1431;251977;250415
4265;1978;1017;18;1431;248041;250415
4266;1978;1018;3952;1431;251975;250415
4267;1958;1018;9;1431;248053;250415
4268;11;1018;14;1430;250006;250415
4269;11;1017;9;1430;250001;250414
4270;16;1017;3918;1431;253906;250415
4271;1912;1017;9;1430;248100;250415
4272;1912;1018;9;1430;248100;250414
4273;11;1017;674;1430;250666;250414
4274;888;1017;2880;1430;251994;250415
4275;1875;1018;17;1430;248146;250414
4276;11;1017;14;1430;250006;250414
4277;20;1017;9;1429;249992;250414
4278;11;1017;3856;1430;253848;250415
4279;11;1017;3835;1430;253827;250415
4280;1867;1017;3860;1431;251993;250416
4281;1826;1017;9;1431;248183;250415
4282;1817;1017;3810;1431;251994;250416
4283;1805;1017;17;1431;248213;250415
4284;9892;1019;3798;1431;243907;250414
4285;1784;1020;3781;1432;251998;250414
4286;11;1019;3769;1432;253761;250415
4287;7;1019;3760;1433;253757;250416
4288;1776;1019;9;1433;248234;250415
4289;1776;1019;3735;1433;251960;250415
4290;1739;1020;3739;1434;252002;250416
4291;11;1019;18;1433;250010;250416
